Run #,Runtime,Command
1,0:00:01.858963,java ByFirstLetterFreq book.txt text1.txt
2,0:00:02.347950,java ByFirstLetterFreq book.txt text1.txt
3,0:00:01.131907,java ByFirstLetterFreq book.txt text1.txt
1,0:00:00.930689,java ByFirstLetterFreq book.txt text1.txt
2,0:00:01.304508,java ByFirstLetterFreq book.txt text1.txt
3,0:00:00.933753,java ByFirstLetterFreq book.txt text1.txt
1,0:00:00.314859,java ByFirstLetterFreq text1.txt
2,0:00:00.276453,java ByFirstLetterFreq text1.txt
3,0:00:00.255344,java ByFirstLetterFreq text1.txt
1,0:00:00.220309,java MergeFreq text1.txt
2,0:00:00.265233,java MergeFreq text1.txt
3,0:00:00.224252,java MergeFreq text1.txt
1,0:00:00.196227,java MergeFreq text1.txt
2,0:00:00.225940,java MergeFreq text1.txt
3,0:00:00.223041,java MergeFreq text1.txt
1,0:00:00.289562,java ByFirstLetterFreq text1.txt
2,0:00:00.234345,java ByFirstLetterFreq text1.txt
3,0:00:00.237571,java ByFirstLetterFreq text1.txt
1,0:00:00.210480,java ByFirstLetterFreq text1.txt
2,0:00:00.240123,java ByFirstLetterFreq text1.txt
3,0:00:00.237613,java ByFirstLetterFreq text1.txt
1,0:00:00.215886,java ByFirstLetterFreq text1.txt
2,0:00:00.218832,java ByFirstLetterFreq text1.txt
3,0:00:00.204015,java ByFirstLetterFreq text1.txt
1,0:00:00.224732,java ByFirstLetterFreq text1.txt
2,0:00:00.205671,java ByFirstLetterFreq text1.txt
3,0:00:00.203068,java ByFirstLetterFreq text1.txt
1,0:00:00.213318,java ByFirstLetterFreq text1.txt
2,0:00:00.233510,java ByFirstLetterFreq text1.txt
3,0:00:00.260846,java ByFirstLetterFreq text1.txt
1,0:00:00.246485,java ByFirstLetterFreq text1.txt
2,0:00:00.213112,java ByFirstLetterFreq text1.txt
3,0:00:00.194292,java ByFirstLetterFreq text1.txt
1,0:00:00.198392,java ByFirstLetterFreq text1.txt
2,0:00:00.217870,java ByFirstLetterFreq text1.txt
3,0:00:00.204877,java ByFirstLetterFreq text1.txt
1,0:00:00.192560,java BasicThreadedFreq text1.txt
2,0:00:00.155762,java BasicThreadedFreq text1.txt
3,0:00:00.133878,java BasicThreadedFreq text1.txt
1,0:00:00.160847,java BasicThreaded/BasicThreadedFreq text1.txt
2,0:00:00.183112,java BasicThreaded/BasicThreadedFreq text1.txt
3,0:00:00.182534,java BasicThreaded/BasicThreadedFreq text1.txt
1,0:00:01.686386,java BasicThreaded/BasicThreadedFreq.java text1.txt
2,0:00:01.480162,java BasicThreaded/BasicThreadedFreq.java text1.txt
3,0:00:01.360075,java BasicThreaded/BasicThreadedFreq.java text1.txt
1,0:00:00.889777,java /Users/amyfung/SERP/WordFrequencyCounters/Basic/BasicThreadedFreq.java text1.txt
2,0:00:00.999120,java /Users/amyfung/SERP/WordFrequencyCounters/Basic/BasicThreadedFreq.java text1.txt
3,0:00:01.033488,java /Users/amyfung/SERP/WordFrequencyCounters/Basic/BasicThreadedFreq.java text1.txt
1,0:00:00.588215,java BasicThreadedFreq text1.txt
2,0:00:00.217636,java BasicThreadedFreq text1.txt
3,0:00:00.267089,java BasicThreadedFreq text1.txt
1,0:00:00.291818,java BasicThreadedFreq TextFiles/text1.txt
2,0:00:00.581154,java BasicThreadedFreq TextFiles/text1.txt
3,0:00:00.557093,java BasicThreadedFreq TextFiles/text1.txt
1,0:00:00.149634,java MergeThreads/MergeFreq TextFiles/text1.txt
2,0:00:00.411438,java MergeThreads/MergeFreq TextFiles/text1.txt
3,0:00:00.153143,java MergeThreads/MergeFreq TextFiles/text1.txt
1,0:00:01.015264,java MergeThreads/MergeFreq.java TextFiles/text1.txt
2,0:00:01.008109,java MergeThreads/MergeFreq.java TextFiles/text1.txt
3,0:00:00.956318,java MergeThreads/MergeFreq.java TextFiles/text1.txt
1,0:00:01.028289,java MergeFreq.java TextFiles/text1.txt
2,0:00:00.980415,java MergeFreq.java TextFiles/text1.txt
3,0:00:01.927895,java MergeFreq.java TextFiles/text1.txt
1,0:00:01.124580,java MergeFreq.java TextFiles/text1.txt
2,0:00:02.261813,java MergeFreq.java TextFiles/text1.txt
3,0:00:01.477961,java MergeFreq.java TextFiles/text1.txt
1,0:00:00.200303,java MergeFreq TextFiles/text1.txt
2,0:00:00.279473,java MergeFreq TextFiles/text1.txt
3,0:00:00.243421,java MergeFreq TextFiles/text1.txt
1,0:00:00.363967,java MergeFreq TextFiles/text1.txt
2,0:00:00.236568,java MergeFreq TextFiles/text1.txt
3,0:00:00.214718,java MergeFreq TextFiles/text1.txt
1,0:00:00.352024,java ByFirstLetterFreq TextFiles/text1.txt
2,0:00:00.229041,java ByFirstLetterFreq TextFiles/text1.txt
3,0:00:00.234475,java ByFirstLetterFreq TextFiles/text1.txt
1,0:00:00.226289,java ByFirstLetterFreq TextFiles/text1.txt
2,0:00:00.290468,java ByFirstLetterFreq TextFiles/text1.txt
3,0:00:00.270250,java ByFirstLetterFreq TextFiles/text1.txt
1,0:00:00.275328,java MergeFreq TextFiles/text1.txt
2,0:00:00.239469,java MergeFreq TextFiles/text1.txt
3,0:00:00.257123,java MergeFreq TextFiles/text1.txt
1,0:00:00.197615,java ByFirstLetterFreq TextFiles/text1.txt
2,0:00:00.231685,java ByFirstLetterFreq TextFiles/text1.txt
3,0:00:00.227514,java ByFirstLetterFreq TextFiles/text1.txt
1,0:00:00.221558,java BasicThreadedFreq TextFiles/text1.txt
2,0:00:00.325611,java BasicThreadedFreq TextFiles/text1.txt
3,0:00:00.289133,java BasicThreadedFreq TextFiles/text1.txt
1,0:00:00.202490,java ByFirstLetterFreq TextFiles/text1.txt
2,0:00:00.266309,java ByFirstLetterFreq TextFiles/text1.txt
3,0:00:00.248426,java ByFirstLetterFreq TextFiles/text1.txt
1,0:00:00.358440,java MergeFreq TextFiles/text1.txt
2,0:00:00.300806,java MergeFreq TextFiles/text1.txt
3,0:00:00.234135,java MergeFreq TextFiles/text1.txt
